repo_name,file_path,file_type
next.js,crates/next-core/src/next_font/local/request.rs,code
next.js,crates/next-core/src/next_font/local/stylesheet.rs,code
next.js,crates/next-core/src/next_import_map.rs,code
next.js,crates/next-core/src/next_manifests/client_reference_manifest.rs,code
next.js,crates/next-core/src/next_manifests/mod.rs,code
next.js,crates/next-core/src/next_route_matcher/all.rs,code
next.js,crates/next-core/src/next_route_matcher/mod.rs,code
next.js,crates/next-core/src/next_route_matcher/path_regex.rs,code
next.js,crates/next-core/src/next_route_matcher/prefix_suffix.rs,code
next.js,crates/next-core/src/next_server/context.rs,code
next.js,crates/next-core/src/next_server/resolve.rs,code
next.js,crates/next-core/src/next_server_component/server_component_module.rs,code
next.js,crates/next-core/src/next_server_utility/server_utility_module.rs,code
next.js,crates/next-core/src/next_shared/resolve.rs,code
next.js,crates/next-core/src/next_shared/webpack_rules/babel.rs,code
next.js,crates/next-core/src/page_loader.rs,code
next.js,crates/next-core/src/raw_ecmascript_module.rs,code
next.js,crates/next-core/src/segment_config.rs,code
next.js,crates/next-core/src/util.rs,code
next.js,crates/next-custom-transforms/src/transforms/named_import_transform.rs,code
next.js,crates/next-custom-transforms/src/transforms/react_server_components.rs,code
next.js,crates/next-custom-transforms/src/transforms/server_actions.rs,code
next.js,crates/next-custom-transforms/src/transforms/track_dynamic_imports.rs,code
next.js,crates/next-custom-transforms/tests/errors.rs,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/cache-life/input.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/cache-life/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/cache-life/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/cache-tag/input.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/cache-tag/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/cache-tag/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/root-params/input.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/root-params/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/root-params/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/server-only/input.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/server-only/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/app-dir/server-only/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/cache-life/input.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/cache-life/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/cache-life/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/cache-tag/input.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/cache-tag/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/cache-tag/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/generate-metadata/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/get-server-side-props/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/get-static-props/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/metadata/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/client-graph/multiple/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/cache-components/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/cache-components/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/generate-metadata/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/get-server-side-props/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/get-static-props/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/image-response/route.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/metadata-conflict/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/metadata/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/react-api/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/react-dom-api/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/react-dom-server-client/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/react-server-components/server-graph/use-cache/page.js,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/1/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/12/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/13/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/16/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/17/output.stderr,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/2/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/29/input.js,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/29/output.js,tests
next.js,crates/next-custom-transforms/tests/errors/server-actions/server-graph/29/output.stderr,tests
