repo_name,file_path,cluster_id,anomaly_score
next.js,packages/next/src/compiled/react-server-dom-turbopack/cjs/react-server-dom-turbopack-client.edge.development.js,1,0.0284
next.js,packages/next/src/compiled/react-server-dom-turbopack/cjs/react-server-dom-turbopack-client.node.development.js,1,0.0231
next.js,packages/next/src/compiled/react-server-dom-turbopack/cjs/react-server-dom-turbopack-server.node.development.js,1,0.0751
next.js,packages/next/src/compiled/react-server-dom-webpack-experimental/cjs/react-server-dom-webpack-client.browser.development.js,1,0.0039
next.js,packages/next/src/compiled/react-server-dom-webpack-experimental/cjs/react-server-dom-webpack-client.edge.development.js,1,0.0298
next.js,packages/next/src/compiled/react-server-dom-webpack-experimental/cjs/react-server-dom-webpack-client.node.development.js,1,0.0303
next.js,packages/next/src/compiled/react-server-dom-webpack-experimental/cjs/react-server-dom-webpack-client.node.unbundled.development.js,1,0.0339
next.js,packages/next/src/compiled/react-server-dom-webpack-experimental/cjs/react-server-dom-webpack-server.node.development.js,1,0.1786
next.js,packages/next/src/compiled/react-server-dom-webpack-experimental/cjs/react-server-dom-webpack-server.node.unbundled.development.js,1,0.2023
next.js,packages/next/src/compiled/react-server-dom-webpack/cjs/react-server-dom-webpack-client.browser.development.js,1,0.0
next.js,packages/next/src/compiled/react-server-dom-webpack/cjs/react-server-dom-webpack-client.edge.development.js,1,0.0284
next.js,packages/next/src/compiled/react-server-dom-webpack/cjs/react-server-dom-webpack-client.node.development.js,1,0.0231
next.js,packages/next/src/compiled/react-server-dom-webpack/cjs/react-server-dom-webpack-client.node.unbundled.development.js,1,0.0244
next.js,packages/next/src/compiled/react-server-dom-webpack/cjs/react-server-dom-webpack-server.node.development.js,1,0.0751
next.js,packages/next/src/compiled/react-server-dom-webpack/cjs/react-server-dom-webpack-server.node.unbundled.development.js,1,0.0772
next.js,packages/next/src/compiled/react/cjs/react.development.js,1,0.0373
next.js,packages/next/src/compiled/react/cjs/react.production.js,1,0.0555
next.js,packages/next/src/compiled/react/cjs/react.react-server.development.js,1,0.0256
next.js,packages/next/src/compiled/react/cjs/react.react-server.production.js,1,0.0457
next.js,packages/next/src/compiled/unistore/unistore.js,1,0.0665
next.js,packages/next/src/export/index.ts,1,0.0633
next.js,packages/next/src/server/app-render/app-render.tsx,0,0.418
next.js,packages/next/src/server/app-render/collect-segment-data.tsx,1,0.0993
next.js,packages/next/src/server/app-render/types.ts,1,0.1699
next.js,packages/next/src/server/base-server.ts,1,0.1633
next.js,packages/next/src/server/config-schema.ts,1,0.0436
next.js,packages/next/src/server/config-shared.ts,1,0.0367
next.js,packages/next/src/server/config.ts,1,0.2806
next.js,packages/next/src/server/dev/hot-reloader-turbopack.ts,0,0.2423
next.js,packages/next/src/server/dev/hot-reloader-webpack.ts,0,0.3115
next.js,packages/next/src/server/dev/next-dev-server.ts,0,0.3071
next.js,packages/next/src/server/lib/router-utils/setup-dev-bundler.ts,0,0.3658
next.js,packages/next/src/server/lib/start-server.ts,1,0.1433
next.js,packages/next/src/server/next-server.ts,1,0.1388
next.js,packages/next/src/shared/lib/app-router-types.ts,1,0.1042
next.js,test/development/acceptance-app/hydration-error.test.ts,1,0.108
next.js,test/development/app-dir/cache-components-dev-errors/cache-components-dev-errors.test.ts,1,0.2622
next.js,test/development/app-dir/hydration-error-count/hydration-error-count.test.ts,1,0.4992
next.js,test/development/middleware-errors/index.test.ts,1,0.0306
next.js,test/e2e/app-dir/cache-components-errors/cache-components-errors.test.ts,1,0.3038
next.js,test/e2e/app-dir/server-source-maps/server-source-maps.test.ts,1,0.0219
next.js,test/lib/next-modes/base.ts,1,0.1969
next.js,test/production/app-dir/build-output-prerender/build-output-prerender.test.ts,1,0.0504
next.js,test/production/next-server-nft/next-server-nft.test.ts,1,0.084
